<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	j = j + 1	0.58	1	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if $stack13 != ch goto j = j + 1	0.41	5	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	j = j + 1	0.58	1	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if $stack13 != ch goto j = j + 1	0.41	5	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	j = j + 1	0.58	1	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if $stack13 != ch goto j = j + 1	0.41	5	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(1254)	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	goto [?= staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")]	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(1254)	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	goto [?= staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")]	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(1254)	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	goto [?= staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")]	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(1254)	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	goto [?= staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")]	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(1254)	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	goto [?= staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")]	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(1254)	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	goto [?= staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")]	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(1254)	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	goto [?= staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")]	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(1254)	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	goto [?= staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")]	0.33	15	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("$stack13 = searchChars[j]")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("$stack13 = searchChars[j]")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("$stack13 = searchChars[j]")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("$stack13 = searchChars[j]")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("$stack13 = searchChars[j]")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("$stack13 = searchChars[j]")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("$stack13 = searchChars[j]")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if j >= searchLen goto i = i + 1	0.24	40	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if j >= searchLen goto i = i + 1	0.24	40	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.26	31	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if l8 >= l4 goto staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.22	47	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if $stack16 != l6 goto staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.18	55	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if l8 >= l4 goto staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.22	47	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if $stack16 != l6 goto staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.18	55	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if l8 >= l4 goto staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.22	47	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if $stack16 != l6 goto staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.18	55	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if l8 >= l4 goto staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.22	47	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if $stack16 != l6 goto staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.18	55	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if l8 >= l4 goto staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.22	47	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if $stack16 != l6 goto staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.18	55	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	j = j + 1	0.2	53	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if j >= searchLen goto i = i + 1	0.24	40	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	if $stack16 != l6 goto staticinvoke <comp5111.assignment.cut.Counter: void addMethodSignature(java.lang.String)>("<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>")	0.18	55	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	l8 = l8 + 1	0.17	56	
<comp5111.assignment.cut.ToolBox$StringTools: boolean containsNone(java.lang.CharSequence,char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("searchLast = searchLen - 1")	0.15	57	
