<comp5111.assignment.cut.ToolBox$CharSequenceTools: int indexOf(java.lang.CharSequence,int,int)>	if $stack8 == 0 goto sz = interfaceinvoke cs.<java.lang.CharSequence: int length()>()	0.91	1	
<comp5111.assignment.cut.ToolBox$ArrayTools: int getLength(java.lang.Object)>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(289)	0.83	7	
<comp5111.assignment.cut.ToolBox$ArrayTools: boolean isEmpty(char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("if $stack1 != 0 goto $stack2 = 0")	0.83	7	
<comp5111.assignment.cut.ToolBox$ArrayTools: int getLength(java.lang.Object)>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(289)	0.83	7	
<comp5111.assignment.cut.ToolBox$ArrayTools: boolean isEmpty(char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("if $stack1 != 0 goto $stack2 = 0")	0.83	7	
<comp5111.assignment.cut.ToolBox$ArrayTools: int getLength(java.lang.Object)>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(289)	0.83	7	
<comp5111.assignment.cut.ToolBox$ArrayTools: boolean isEmpty(char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("if $stack1 != 0 goto $stack2 = 0")	0.83	7	
<comp5111.assignment.cut.ToolBox$ArrayTools: int getLength(java.lang.Object)>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(289)	0.83	7	
<comp5111.assignment.cut.ToolBox$ArrayTools: boolean isEmpty(char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("if $stack1 != 0 goto $stack2 = 0")	0.83	7	
<comp5111.assignment.cut.ToolBox$ArrayTools: int getLength(java.lang.Object)>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(289)	0.83	7	
<comp5111.assignment.cut.ToolBox$ArrayTools: boolean isEmpty(char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("if $stack1 != 0 goto $stack2 = 0")	0.83	7	
<comp5111.assignment.cut.ToolBox$ArrayTools: int getLength(java.lang.Object)>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(289)	0.83	7	
<comp5111.assignment.cut.ToolBox$ArrayTools: boolean isEmpty(char[])>	staticinvoke <comp5111.assignment.cut.Counter: void addStatement(java.lang.String)>("if $stack1 != 0 goto $stack2 = 0")	0.83	7	
<comp5111.assignment.cut.ToolBox$ArrayTools: boolean isEmpty(boolean[])>	staticinvoke <comp5111.assignment.cut.Counter: void addToLineNumberWorkArray(int)>(175)	0.77	19	
<comp5111.assignment.cut.ToolBox$ArrayTools: boolean isEmpty(boolean[])>	return l0#2	0.77	19	
